;Scopy version,438f138
;Exported on,Thursday September 25/09/2025
;Device,M2K
;Nr of samples,1600
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.08,2.40534,-0.0597199
1,-0.0799,2.40534,-0.0597199
2,-0.0798,2.40534,-0.0597199
3,-0.0797,2.40534,-0.0597199
4,-0.0796,2.40534,-0.0597199
5,-0.0795,2.40534,-0.0597199
6,-0.0794,2.40534,-0.0597199
7,-0.0793,2.40534,-0.0597199
8,-0.0792,2.40534,-0.0597199
9,-0.0791,2.40534,-0.0597199
10,-0.079,2.40534,-0.0597199
11,-0.0789,2.40534,-0.0597199
12,-0.0788,2.40534,-0.0597199
13,-0.0787,2.40534,-0.0597199
14,-0.0786,2.40534,-0.0597199
15,-0.0785,2.40534,-0.0597199
16,-0.0784,2.40534,-0.0597199
17,-0.0783,2.40534,-0.0597199
18,-0.0782,2.40534,-0.0597199
19,-0.0781,2.40534,-0.0597199
20,-0.078,2.40534,-0.0597199
21,-0.0779,2.40534,-0.0597199
22,-0.0778,2.40534,-0.0597199
23,-0.0777,2.40534,-0.0597199
24,-0.0776,2.40534,-0.0597199
25,-0.0775,2.40534,-0.0597199
26,-0.0774,2.40534,-0.0597199
27,-0.0773,2.40534,-0.0597199
28,-0.0772,2.40534,-0.0597199
29,-0.0771,2.40534,-0.0597199
30,-0.077,2.40534,-0.0597199
31,-0.0769,2.40534,-0.0597199
32,-0.0768,2.40534,-0.0597199
33,-0.0767,2.40534,-0.0597199
34,-0.0766,2.40534,-0.0597199
35,-0.0765,2.40534,-0.0597199
36,-0.0764,2.40534,-0.0597199
37,-0.0763,2.40534,-0.0597199
38,-0.0762,2.40534,-0.0597199
39,-0.0761,2.40534,-0.0597199
40,-0.076,2.40534,-0.0597199
41,-0.0759,2.40534,-0.0597199
42,-0.0758,2.40534,-0.0597199
43,-0.0757,2.40534,-0.0597199
44,-0.0756,2.40534,-0.0597199
45,-0.0755,2.40534,-0.0597199
46,-0.0754,2.40534,-0.0597199
47,-0.0753,2.40534,-0.0597199
48,-0.0752,2.40534,-0.0597199
49,-0.0751,2.40534,-0.0597199
50,-0.075,2.40534,-0.0597199
51,-0.0749,2.35305,-0.0771499
52,-0.0748,1.18524,-1.2101
53,-0.0747,-2.87595,-3.58057
54,-0.0746,-2.54478,-1.94216
55,-0.0745,-2.56221,-1.19267
56,-0.0744,-2.56221,-0.739489
57,-0.0743,-2.56221,-0.460609
58,-0.0742,-2.56221,-0.303739
59,-0.0741,-2.56221,-0.19916
60,-0.074,-2.56221,-0.14687
61,-0.0739,-2.56221,-0.11201
62,-0.0738,-2.56221,-0.0771499
63,-0.0737,-2.56221,-0.0771499
64,-0.0736,-2.56221,-0.0771499
65,-0.0735,-2.56221,-0.0597199
66,-0.0734,-2.56221,-0.0597199
67,-0.0733,-2.56221,-0.0597199
68,-0.0732,-2.56221,-0.0597199
69,-0.0731,-2.56221,-0.0597199
70,-0.073,-2.56221,-0.0597199
71,-0.0729,-2.56221,-0.0597199
72,-0.0728,-2.56221,-0.0597199
73,-0.0727,-2.56221,-0.0597199
74,-0.0726,-2.56221,-0.0597199
75,-0.0725,-2.56221,-0.0597199
76,-0.0724,-2.56221,-0.0597199
77,-0.0723,-2.56221,-0.0597199
78,-0.0722,-2.56221,-0.0597199
79,-0.0721,-2.56221,-0.0597199
80,-0.072,-2.56221,-0.0597199
81,-0.0719,-2.56221,-0.0597199
82,-0.0718,-2.57964,-0.0597199
83,-0.0717,-2.57964,-0.0597199
84,-0.0716,-2.57964,-0.0597199
85,-0.0715,-2.57964,-0.0597199
86,-0.0714,-2.57964,-0.0597199
87,-0.0713,-2.56221,-0.0597199
88,-0.0712,-2.59707,-0.0597199
89,-0.0711,-2.57964,-0.0597199
90,-0.071,-2.57964,-0.0597199
91,-0.0709,-2.57964,-0.0597199
92,-0.0708,-2.57964,-0.0597199
93,-0.0707,-2.57964,-0.0597199
94,-0.0706,-2.57964,-0.0597199
95,-0.0705,-2.57964,-0.0597199
96,-0.0704,-2.57964,-0.0597199
97,-0.0703,-2.57964,-0.0597199
98,-0.0702,-2.57964,-0.0597199
99,-0.0701,-2.57964,-0.0597199
100,-0.07,-2.57964,-0.0597199
101,-0.0699,-2.57964,-0.0597199
102,-0.0698,-2.57964,-0.0597199
103,-0.0697,-2.57964,-0.0597199
104,-0.0696,-2.57964,-0.0597199
105,-0.0695,-2.57964,-0.0597199
106,-0.0694,-2.57964,-0.0597199
107,-0.0693,-2.57964,-0.0597199
108,-0.0692,-2.57964,-0.0597199
109,-0.0691,-2.57964,-0.0597199
110,-0.069,-2.57964,-0.0597199
111,-0.0689,-2.57964,-0.0597199
112,-0.0688,-2.57964,-0.0597199
113,-0.0687,-2.57964,-0.0597199
114,-0.0686,-2.57964,-0.0597199
115,-0.0685,-2.57964,-0.0597199
116,-0.0684,-2.57964,-0.0597199
117,-0.0683,-2.57964,-0.0597199
118,-0.0682,-2.57964,-0.0597199
119,-0.0681,-2.57964,-0.0597199
120,-0.068,-2.57964,-0.0597199
121,-0.0679,-2.57964,-0.0597199
122,-0.0678,-2.57964,-0.0597199
123,-0.0677,-2.57964,-0.0597199
124,-0.0676,-2.57964,-0.0597199
125,-0.0675,-2.57964,-0.0597199
126,-0.0674,-2.57964,-0.0597199
127,-0.0673,-2.57964,-0.0597199
128,-0.0672,-2.57964,-0.0597199
129,-0.0671,-2.57964,-0.0597199
130,-0.067,-2.57964,-0.0597199
131,-0.0669,-2.57964,-0.0597199
132,-0.0668,-2.57964,-0.0597199
133,-0.0667,-2.57964,-0.0597199
134,-0.0666,-2.57964,-0.0597199
135,-0.0665,-2.57964,-0.0597199
136,-0.0664,-2.57964,-0.0597199
137,-0.0663,-2.57964,-0.0597199
138,-0.0662,-2.57964,-0.0597199
139,-0.0661,-2.57964,-0.0597199
140,-0.066,-2.57964,-0.0597199
141,-0.0659,-2.57964,-0.0597199
142,-0.0658,-2.57964,-0.0597199
143,-0.0657,-2.57964,-0.0597199
144,-0.0656,-2.57964,-0.0597199
145,-0.0655,-2.57964,-0.0597199
146,-0.0654,-2.57964,-0.0597199
147,-0.0653,-2.57964,-0.0597199
148,-0.0652,-2.57964,-0.0597199
149,-0.0651,-2.57964,-0.0597199
150,-0.065,-2.57964,-0.0597199
151,-0.0649,-2.57964,-0.0597199
152,-0.0648,-2.57964,-0.0597199
153,-0.0647,-2.57964,-0.0597199
154,-0.0646,-2.57964,-0.0597199
155,-0.0645,-2.57964,-0.0597199
156,-0.0644,-2.57964,-0.0597199
157,-0.0643,-2.57964,-0.0597199
158,-0.0642,-2.57964,-0.0597199
159,-0.0641,-2.57964,-0.0597199
160,-0.064,-2.57964,-0.0597199
161,-0.0639,-2.57964,-0.0597199
162,-0.0638,-2.57964,-0.0597199
163,-0.0637,-2.57964,-0.0597199
164,-0.0636,-2.57964,-0.0597199
165,-0.0635,-2.57964,-0.0597199
166,-0.0634,-2.57964,-0.0597199
167,-0.0633,-2.57964,-0.0597199
168,-0.0632,-2.57964,-0.0597199
169,-0.0631,-2.57964,-0.0597199
170,-0.063,-2.57964,-0.0597199
171,-0.0629,-2.57964,-0.0597199
172,-0.0628,-2.57964,-0.0597199
173,-0.0627,-2.57964,-0.0597199
174,-0.0626,-2.57964,-0.0597199
175,-0.0625,-2.57964,-0.0597199
176,-0.0624,-2.57964,-0.0597199
177,-0.0623,-2.57964,-0.0597199
178,-0.0622,-2.57964,-0.0597199
179,-0.0621,-2.57964,-0.0597199
180,-0.062,-2.57964,-0.0597199
181,-0.0619,-2.57964,-0.0597199
182,-0.0618,-2.57964,-0.0597199
183,-0.0617,-2.57964,-0.0597199
184,-0.0616,-2.57964,-0.0597199
185,-0.0615,-2.57964,-0.0597199
186,-0.0614,-2.57964,-0.0597199
187,-0.0613,-2.57964,-0.0597199
188,-0.0612,-2.57964,-0.0597199
189,-0.0611,-2.57964,-0.0597199
190,-0.061,-2.57964,-0.0597199
191,-0.0609,-2.57964,-0.0597199
192,-0.0608,-2.57964,-0.0597199
193,-0.0607,-2.57964,-0.0597199
194,-0.0606,-2.57964,-0.0597199
195,-0.0605,-2.57964,-0.0597199
196,-0.0604,-2.57964,-0.0597199
197,-0.0603,-2.57964,-0.0597199
198,-0.0602,-2.57964,-0.0597199
199,-0.0601,-2.57964,-0.0597199
200,-0.06,-2.57964,-0.0597199
201,-0.0599,-2.57964,-0.0597199
202,-0.0598,-2.57964,-0.0597199
203,-0.0597,-2.57964,-0.0597199
204,-0.0596,-2.57964,-0.0597199
205,-0.0595,-2.57964,-0.0597199
206,-0.0594,-2.57964,-0.0597199
207,-0.0593,-2.57964,-0.0597199
208,-0.0592,-2.57964,-0.0597199
209,-0.0591,-2.57964,-0.0597199
210,-0.059,-2.57964,-0.0597199
211,-0.0589,-2.57964,-0.0597199
212,-0.0588,-2.57964,-0.0597199
213,-0.0587,-2.57964,-0.0597199
214,-0.0586,-2.57964,-0.0597199
215,-0.0585,-2.57964,-0.0597199
216,-0.0584,-2.57964,-0.0597199
217,-0.0583,-2.57964,-0.0597199
218,-0.0582,-2.57964,-0.0597199
219,-0.0581,-2.57964,-0.0597199
220,-0.058,-2.57964,-0.0597199
221,-0.0579,-2.57964,-0.0597199
222,-0.0578,-2.57964,-0.0597199
223,-0.0577,-2.57964,-0.0597199
224,-0.0576,-2.57964,-0.0597199
225,-0.0575,-2.57964,-0.0597199
226,-0.0574,-2.57964,-0.0597199
227,-0.0573,-2.57964,-0.0597199
228,-0.0572,-2.57964,-0.0597199
229,-0.0571,-2.57964,-0.0597199
230,-0.057,-2.57964,-0.0597199
231,-0.0569,-2.57964,-0.0597199
232,-0.0568,-2.57964,-0.0597199
233,-0.0567,-2.57964,-0.0597199
234,-0.0566,-2.57964,-0.0597199
235,-0.0565,-2.57964,-0.0597199
236,-0.0564,-2.57964,-0.0597199
